Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.159.129-192.168.159.133-22-57628-6,192.168.159.133,57628,192.168.159.129,22,6,31-03-2024 09:55,497880,13,12,1417,1717,1168,0,109,319.6701425,1280,0,143.0833333,368.2863161,6294.689483,50.21290271,20745,22039.90253,63492,38,496946,41412.16667,39727.7456,146418,1109,396130,36011.81818,32754.28236,92068,66,0,0,0,0,416,400,26.11070941,24.1021933,0,1280,120.5384615,331.0957844,109624.4185,0,1,0,0,0,0,0,0,0,125.36,109,143.0833333,0,0,0,0,0,0,13,1417,12,1717,-1,249,6,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-57628-6,192.168.159.129,22,192.168.159.133,57628,6,31-03-2024 09:55,49678,1,1,0,0,0,0,0,0,0,0,0,0,0,40.2592697,49678,0,49678,49678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20.12963485,20.12963485,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,249,0,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-58194-6,192.168.159.133,58194,192.168.159.129,22,6,31-03-2024 09:55,618,1,3,0,0,0,0,0,0,0,0,0,0,0,6472.491909,206,204.9414551,437,46,0,0,0,0,0,618,309,371.9381669,572,46,0,0,0,0,32,112,1618.122977,4854.368932,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,3,0,-1,227,0,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-57650-6,192.168.159.133,57650,192.168.159.129,22,6,31-03-2024 09:55,10302821,20,27,2057,2405,1168,0,102.85,253.6477614,1280,0,89.07407407,246.7943594,433.0852686,4.561857379,223974.3696,617756.3437,2360916,10,1.03E+07,542220.3158,908271.6708,2404875,738,1.02E+07,392324.8077,787013.976,2360916,32,0,0,0,0,640,880,1.941215906,2.620641473,0,1280,92.95833333,244.8189047,59936.2961,0,1,0,0,0,0,0,0,1,94.93617021,102.85,89.07407407,0,0,0,0,0,0,20,2057,27,2405,-1,249,14,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-57676-6,192.168.159.133,57676,192.168.159.129,22,6,31-03-2024 09:55,10313756,20,27,2057,2405,1168,0,102.85,253.6477614,1280,0,89.07407407,246.7943594,432.6260966,4.55702074,224212.087,619522.6841,2374589,10,1.03E+07,542803.1579,911107.2558,2418092,887,1.02E+07,392771.1923,789406.3005,2374589,54,0,0,0,0,640,880,1.939157762,2.617862978,0,1280,92.95833333,244.8189047,59936.2961,0,1,0,0,0,0,0,0,1,94.93617021,102.85,89.07407407,0,0,0,0,0,0,20,2057,27,2405,-1,249,14,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-57720-6,192.168.159.133,57720,192.168.159.129,22,6,31-03-2024 09:55,10248493,19,29,2057,2405,1168,0,108.2631579,259.4086956,1280,0,82.93103448,238.9237671,435.3810848,4.683615435,218053.0426,608718.7978,2321976,36,1.02E+07,569336.2222,919901.7703,2365000,613,1.01E+07,362368.9643,760131.8895,2321976,52,0,0,0,0,608,944,1.85393111,2.829684325,0,1280,91.06122449,242.6189921,58863.97534,0,1,0,0,0,0,0,0,1,92.95833333,108.2631579,82.93103448,0,0,0,0,0,0,19,2057,29,2405,-1,249,14,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-57710-6,192.168.159.133,57710,192.168.159.129,22,6,31-03-2024 09:55,10304577,19,29,2057,2405,1168,0,108.2631579,259.4086956,1280,0,82.93103448,238.9237671,433.0114667,4.658124249,219246.3191,610007.3852,2342715,33,1.03E+07,572433.7778,921247.2285,2386835,853,1.02E+07,364392.5357,761505.9851,2342715,68,0,0,0,0,608,944,1.843840849,2.8142834,0,1280,91.06122449,242.6189921,58863.97534,0,1,0,0,0,0,0,0,1,92.95833333,108.2631579,82.93103448,0,0,0,0,0,0,19,2057,29,2405,-1,249,14,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-57660-6,192.168.159.133,57660,192.168.159.129,22,6,31-03-2024 09:55,10436031,20,27,2057,2405,1168,0,102.85,253.6477614,1280,0,89.07407407,246.7943594,427.5571815,4.503627864,226870.2391,632276.5853,2544539,44,1.04E+07,549239.8947,931155.5035,2590563,773,1.03E+07,397503.5769,806287.0194,2544539,59,0,0,0,0,640,880,1.916437389,2.587190475,0,1280,92.95833333,244.8189047,59936.2961,0,1,0,0,0,0,0,0,1,94.93617021,102.85,89.07407407,0,0,0,0,0,0,20,2057,27,2405,-1,249,14,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-57736-6,192.168.159.133,57736,192.168.159.129,22,6,31-03-2024 09:55,10083315,19,29,2057,2405,1168,0,108.2631579,259.4086956,1280,0,82.93103448,238.9237671,442.5132013,4.760339234,214538.617,610683.9622,2329607,19,1.01E+07,560150.2222,926843.0104,2372093,765,9981829,356493.8929,763896.0135,2329607,53,0,0,0,0,608,944,1.884300947,2.876038287,0,1280,91.06122449,242.6189921,58863.97534,0,1,0,0,0,0,0,0,1,92.95833333,108.2631579,82.93103448,0,0,0,0,0,0,19,2057,29,2405,-1,249,14,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-57698-6,192.168.159.133,57698,192.168.159.129,22,6,31-03-2024 09:55,10471391,19,29,2057,2405,1168,0,108.2631579,259.4086956,1280,0,82.93103448,238.9237671,426.1133979,4.583918221,222795.5532,628349.8935,2566812,34,1.05E+07,581703.3889,951062.8221,2611501,689,1.04E+07,370363.6071,785371.4019,2566812,58,0,0,0,0,608,944,1.814467629,2.769450592,0,1280,91.06122449,242.6189921,58863.97534,0,1,0,0,0,0,0,0,1,92.95833333,108.2631579,82.93103448,0,0,0,0,0,0,19,2057,29,2405,-1,249,14,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
