Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.159.129-192.168.159.133-22-50490-6,192.168.159.133,50490,192.168.159.129,22,6,19/03/2024 01:29:33 PM,232654,10,10,1417,1717,1168,0,141.7,362.0822651,1280,0,171.7,400.395374,13470.6474,85.96456541,12244.94737,18289.7345,57800,8,231963,25773.66667,28113.15077,80906,1325,131608,14623.11111,16424.17252,42491,93,0,0,0,0,320,336,42.9822827,42.9822827,0,1280,149.2380952,364.0512196,132533.2905,0,1,0,0,0,0,0,0,1,156.7,141.7,171.7,0,0,0,0,0,0,10,1417,10,1717,-1,249,6,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-50490-6,192.168.159.129,22,192.168.159.133,50490,6,19/03/2024 01:29:33 PM,61961,1,1,0,0,0,0,0,0,0,0,0,0,0,32.27836865,61961,0,61961,61961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,16.13918433,16.13918433,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,249,0,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-50678-6,192.168.159.133,50678,192.168.159.129,22,6,19/03/2024 01:29:35 PM,830,1,3,0,0,0,0,0,0,0,0,0,0,0,4819.277108,276.6666667,203.7801102,409,42,0,0,0,0,0,830,415,527.5016588,788,42,0,0,0,0,32,112,1204.819277,3614.457831,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,3,0,-1,227,0,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-50504-6,192.168.159.133,50504,192.168.159.129,22,6,19/03/2024 01:29:33 PM,1785089,10,11,1417,1765,1168,0,141.7,362.0822651,1280,0,160.4545455,382.2782661,1782.544176,11.76411932,89254.45,349233.0317,1571024,11,1784437,198270.7778,547294.8582,1656832,1104,1683691,168369.1,493092.6362,1571024,92,0,0,0,0,320,368,5.601961583,6.162157741,0,1280,144.6363636,356.240762,126907.4805,0,1,0,0,0,0,0,0,1,151.5238095,141.7,160.4545455,0,0,0,0,0,0,10,1417,11,1765,-1,249,6,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-50520-6,192.168.159.133,50520,192.168.159.129,22,6,19/03/2024 01:29:33 PM,1781106,10,11,1417,1765,1168,0,141.7,362.0822651,1280,0,160.4545455,382.2782661,1786.530392,11.79042685,89055.3,349028.7782,1569929,14,1780619,197846.5556,546152.6519,1653305,916,1679770,167977,492854.0358,1569929,44,0,0,0,0,320,368,5.614488975,6.175937872,0,1280,144.6363636,356.240762,126907.4805,0,1,0,0,0,0,0,0,1,151.5238095,141.7,160.4545455,0,0,0,0,0,0,10,1417,11,1765,-1,249,6,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-50546-6,192.168.159.133,50546,192.168.159.129,22,6,19/03/2024 01:29:33 PM,1780025,10,11,1417,1765,1168,0,141.7,362.0822651,1280,0,160.4545455,382.2782661,1787.615342,11.79758711,89001.25,348261.1429,1566632,15,1779617,197735.2222,545265.4073,1650871,1544,1678764,167876.4,491717.1391,1566632,31,0,0,0,0,320,368,5.617898625,6.179688488,0,1280,144.6363636,356.240762,126907.4805,0,1,0,0,0,0,0,0,1,151.5238095,141.7,160.4545455,0,0,0,0,0,0,10,1417,11,1765,-1,249,6,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-50548-6,192.168.159.133,50548,192.168.159.129,22,6,19/03/2024 01:29:33 PM,1822095,10,11,1417,1765,1168,0,141.7,362.0822651,1280,0,160.4545455,382.2782661,1746.341437,11.5251949,91104.75,352758.5429,1587881,13,1821733,202414.7778,551022.3947,1670948,1028,1720563,172056.3,497699.8777,1587881,13,0,0,0,0,320,368,5.488188047,6.037006852,0,1280,144.6363636,356.240762,126907.4805,0,1,0,0,0,0,0,0,1,151.5238095,141.7,160.4545455,0,0,0,0,0,0,10,1417,11,1765,-1,249,6,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-50590-6,192.168.159.133,50590,192.168.159.129,22,6,19/03/2024 01:29:33 PM,1817042,10,11,1417,1765,1168,0,141.7,362.0822651,1280,0,160.4545455,382.2782661,1751.197826,11.55724524,90852.1,354590.6693,1595384,17,1816617,201846.3333,553385.7305,1676591,902,1716143,171614.3,500526.0135,1595384,31,0,0,0,0,320,368,5.503450113,6.053795124,0,1280,144.6363636,356.240762,126907.4805,0,1,0,0,0,0,0,0,1,151.5238095,141.7,160.4545455,0,0,0,0,0,0,10,1417,11,1765,-1,249,6,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-50568-6,192.168.159.133,50568,192.168.159.129,22,6,19/03/2024 01:29:33 PM,1833376,10,11,1417,1765,1168,0,141.7,362.0822651,1280,0,160.4545455,382.2782661,1735.595972,11.45427888,91668.8,358179.2907,1611484,11,1833021,203669,558878.9571,1693064,1693,1732445,173244.5,505592.9142,1611484,14,0,0,0,0,320,368,5.454418515,5.999860367,0,1280,144.6363636,356.240762,126907.4805,0,1,0,0,0,0,0,0,1,151.5238095,141.7,160.4545455,0,0,0,0,0,0,10,1417,11,1765,-1,249,6,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-50578-6,192.168.159.133,50578,192.168.159.129,22,6,19/03/2024 01:29:33 PM,1834737,10,11,1417,1765,1168,0,141.7,362.0822651,1280,0,160.4545455,382.2782661,1734.308514,11.44578215,91736.85,358650.3932,1613506,9,1834269,203807.6667,559765.061,1695533,811,1732895,173289.5,506306.194,1613506,46,0,0,0,0,320,368,5.450372451,5.995409696,0,1280,144.6363636,356.240762,126907.4805,0,1,0,0,0,0,0,0,1,151.5238095,141.7,160.4545455,0,0,0,0,0,0,10,1417,11,1765,-1,249,6,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
